order_id,order_date,order_timestamp,sku,product_name,category,region,unit_price,quantity,discount_pct,gross_amount,net_amount
ORD-20260604-0000,2026-06-04,2026-06-04 07:38:00,SKU-1003,Notebook Set,Stationery,Unknown,249,1,0.0,249,249.0
ORD-20260604-0001,2026-06-04,2026-06-04 06:35:00,SKU-1009,Phone Case,Accessories,West,299,1,5.0,299,284.05
ORD-20260604-0002,2026-06-04,2026-06-04 17:43:00,SKU-1006,Yoga Mat,Fitness,Unknown,599,1,5.0,599,569.05
ORD-20260604-0003,2026-06-04,2026-06-04 18:48:00,SKU-1002,Bluetooth Speaker,Electronics,North,1999,1,15.0,1999,1699.15
ORD-20260604-0004,2026-06-04,2026-06-04 10:39:00,SKU-1006,Yoga Mat,Fitness,West,599,2,0.0,1198,1198.0
ORD-20260604-0005,2026-06-04,2026-06-04 08:28:00,SKU-1009,Phone Case,Accessories,West,299,1,5.0,299,284.05
ORD-20260604-0006,2026-06-04,2026-06-04 15:20:00,SKU-1006,Yoga Mat,Fitness,East,599,2,0.0,1198,1198.0
ORD-20260604-0007,2026-06-04,2026-06-04 22:51:00,SKU-1001,Wireless Mouse,Electronics,East,799,1,0.0,799,799.0
ORD-20260604-0008,2026-06-04,2026-06-04 11:15:00,SKU-1007,Water Bottle,Fitness,South,349,2,15.0,698,593.3
ORD-20260604-0009,2026-06-04,2026-06-04 00:31:00,SKU-1005,LED Desk Lamp,Furniture,West,899,2,0.0,1798,1798.0
ORD-20260604-0010,2026-06-04,2026-06-04 00:22:00,SKU-1010,USB-C Cable,Electronics,Central,199,1,0.0,199,199.0
ORD-20260604-0011,2026-06-04,2026-06-04 04:54:00,SKU-1007,Water Bottle,Fitness,North,349,1,0.0,349,349.0
ORD-20260604-0012,2026-06-04,2026-06-04 09:11:00,SKU-1008,Backpack,Accessories,Central,1499,1,5.0,1499,1424.05
ORD-20260604-0013,2026-06-04,2026-06-04 23:10:00,SKU-1009,Phone Case,Accessories,North,299,1,10.0,299,269.1
ORD-20260604-0014,2026-06-04,2026-06-04 07:27:00,SKU-1005,LED Desk Lamp,Furniture,North,899,1,5.0,899,854.05
ORD-20260604-0015,2026-06-04,2026-06-04 20:15:00,SKU-1001,Wireless Mouse,Electronics,West,799,3,0.0,2397,2397.0
